17079,3892,Pipe,"[['Copper', 3892]]","[['Pipe', 3892]]",0.0
17080,3892,Pipe,"[['Copper', 3892]]","[['Pipe', 3892]]",0.0
17081,3891,Pipe,"[['Copper', 3891]]","[['Pipe', 3891]]",0.0
17082,3891,Pipe,"[['Copper', 3891]]","[['Pipe', 3891]]",0.0
17083,3890,Pipe,"[['Copper', 3890]]","[['Pipe', 3890]]",0.0
17084,3890,Pipe,"[['Copper', 3890]]","[['Pipe', 3890]]",0.0
17085,3889,Pipe,"[['Copper', 3889]]","[['Pipe', 3889]]",0.0
17086,3889,Pipe,"[['Copper', 3889]]","[['Pipe', 3889]]",0.0
17087,3888,Pipe,"[['Copper', 3888]]","[['Pipe', 3888]]",0.0
17088,3888,Pipe,"[['Copper', 3888]]","[['Pipe', 3888]]",0.0
17089,3887,Pipe,"[['Copper', 3887]]","[['Pipe', 3887]]",0.0
17090,3887,Pipe,"[['Copper', 3887]]","[['Pipe', 3887]]",0.0
17091,3886,Pipe,"[['Copper', 3886]]","[['Pipe', 3886]]",0.0
17092,3886,Pipe,"[['Copper', 3886]]","[['Pipe', 3886]]",0.0
17093,3885,Pipe,"[['Copper', 3885]]","[['Pipe', 3885]]",0.0
17094,3885,Pipe,"[['Copper', 3885]]","[['Pipe', 3885]]",0.0
17095,3884,Pipe,"[['Copper', 3884]]","[['Pipe', 3884]]",0.0
17096,3884,Pipe,"[['Copper', 3884]]","[['Pipe', 3884]]",0.0
17097,3883,Pipe,"[['Copper', 3883]]","[['Pipe', 3883]]",0.0
17098,3883,Pipe,"[['Copper', 3883]]","[['Pipe', 3883]]",0.0
17099,3882,Pipe,"[['Copper', 3882]]","[['Pipe', 3882]]",0.0
17100,3882,Pipe,"[['Copper', 3882]]","[['Pipe', 3882]]",0.0
17101,3881,Pipe,"[['Copper', 3881]]","[['Pipe', 3881]]",0.0
17102,3881,Pipe,"[['Copper', 3881]]","[['Pipe', 3881]]",0.0
17103,3880,Pipe,"[['Copper', 3880]]","[['Pipe', 3880]]",0.0
17104,3880,Pipe,"[['Copper', 3880]]","[['Pipe', 3880]]",0.0
17105,3879,Pipe,"[['Copper', 3879]]","[['Pipe', 3879]]",0.0
17106,3879,Pipe,"[['Copper', 3879]]","[['Pipe', 3879]]",0.0
17107,3878,Pipe,"[['Copper', 3878]]","[['Pipe', 3878]]",0.0
17108,3878,Pipe,"[['Copper', 3878]]","[['Pipe', 3878]]",0.0
17109,3877,Pipe,"[['Copper', 3877]]","[['Pipe', 3877]]",0.0
17110,3877,Pipe,"[['Copper', 3877]]","[['Pipe', 3877]]",0.0
17111,3876,Pipe,"[['Copper', 3876]]","[['Pipe', 3876]]",0.0
